SITIO;PROYECTADO;NOMBRE;NOMBRE ZONA;NOMBRE SALA;Filas Nombre;DISPOSITIVO;Dispositivo ID;IP;Estado;MARCA;MODELO;Clase;Agrupador;Función;Contexto;Parent;Vigencia Baja;Vigencia Fecha Desde Date;Vigencia Fecha Hasta Date;Fecha Foto Date;Assettag;Fecha Carga Date;Fecha Instalación Date;Fecha Ultima Modificación Date;Fecha Descubrimiento Date;Fecha Auditoría Date;CLASIFICACION EDIFICIO;PROVINCIA;REGION;SUB REGION
SRT;ARSSSRT;SARRATEA;Sala Objetivo;;POD 1;ARSSSRT_SOB0001_AIX_X5_BC18;158196;10.217.8.139;Operativo;CLIMAVENETA;CRCX-I 0121;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b19b472cfaeb;1969-12-31;2020-04-22;2024-02-09;;2021-03-16;EDIFICIO HUB;SANTA FE;3 LITORAL;34 GRAN ROSARIO
SRT;ARSSSRT;SARRATEA;Sala Objetivo;;POD 1;ARSSSRT_SOB0001_AIX_X6_AX17;158197;10.217.8.140;Operativo;CLIMAVENETA;CRCX-I 0121;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b19b472cffbb;1969-12-31;2020-04-22;2024-02-09;;2021-03-16;EDIFICIO HUB;SANTA FE;3 LITORAL;34 GRAN ROSARIO
SRT;ARSSSRT;SARRATEA;Sala Objetivo;;POD 5;ATS_AO24_2;1348586;10.217.8.149;Operativo;APC;AUTOMATIC TRANSFER SWITCH;STS-ATS RACKEABLE;STS;ORGANIZACION Y CONEXIONADO;ENTORNO DE RED;0;0;2023-10-11;9999-01-02;2024-11-27;652558834b795723845733;2023-10-10;2023-10-10;2024-06-13;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;34 GRAN ROSARIO
SRT;ARSSSRT;SARRATEA;Sala Objetivo;;POD 1;REC_AF-29_2_X1;1350549;10.217.8.160;Operativo;ENATEL;RECTIFICADOR 24V;RECTIFICADOR SWITCHING CHASIS;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2023-10-17;9999-01-02;2024-11-27;652e985cd62d6646515669;2023-10-17;2023-10-17;2024-06-12;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;34 GRAN ROSARIO
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala de Fuerza;;;ARYYSSJ_SEA1S01_PCC1;400907;10.217.25.66;Operativo;ELTEK;CHASIS SISTEMA RECTIFICADOR 200 A;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5d8b41cc0997e;1969-12-31;1969-12-31;2024-10-18;;1900-01-02;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala de Energía A;;UPS1.SSJ1-SALA ENERGÍA A;ARYYSSJ_SEA1S03_UPS_A1;1079814;10.217.25.67;Operativo;VERTIV;Liebert APM 150;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;61f1502dc22cd834556284;2022-01-26;2021-05-04;2024-10-06;;2022-03-11;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala de Energía B;;UPS2.SSJ1-SALA ENERGÍA B;ARYYSSJ_SEA1S04_UPS_B1;1079815;10.217.25.68;Operativo;VERTIV;Liebert APM 150;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;61f1536f18ffe111614797;2022-01-26;2021-12-31;2024-10-06;;2022-03-11;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala Objetivo;;POD 7;ARYYSSJ_SOB0201_AIX_X1_AE29;1104712;10.217.25.71;Operativo;Emerson;CR025;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;6244695842d7b689551338;2022-03-30;2021-12-01;2024-02-09;;2022-03-30;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala Objetivo;;POD 7;ARYYSSJ_SOB0201_AIX_X2_AF24;1104713;10.217.25.72;Operativo;Emerson;CR025;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;624469cf268df609318757;2022-03-30;2021-12-01;2024-02-09;;2022-03-30;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SSJ;ARYYSSJ;SAN SALVADOR DE JUJUY;Sala Objetivo;;POD 7;ARYYSSJ_SOB0201_AKC_1_AD24_21;1178187;10.217.25.70;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;62cd9445e087a387151583;2022-07-12;2023-04-01;2023-06-13;;1900-01-02;EDIFICIO HUB;JUJUY;2 MEDITERRANEA;83 SALTA JUJUY
SST;ARSSSST;SAN JUSTO;Sala de transmisión;;;A07-S024 ZSJUST;1436724;10.90.82.226;Operativo;Nokia;HEX-FCOB;FAN RACK;VENTILACION MECANICA;CLIMATIZACION;ENTORNO DE RED;0;0;2024-05-28;9999-01-02;2024-11-27;6655e9e908e1b774563648;2024-05-28;2022-06-15;2024-05-28;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
SST;ARSSSST;SAN JUSTO;AZOTEA;;;ARSSSST_AZO0001_VRV_A1;1099057;10.100.179.1;Operativo;MITSUBISHI;PUHY-EP250YNW-A;VRV EXTERIOR;REFRIGERACION EXPANSION DIRECTA VRV;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;622666558b86e904327869;2022-03-07;2021-03-30;2023-10-06;;2023-03-01;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
SST;ARSSSST;SAN JUSTO;Sala Objetivo;;;ARSSSST_SOB0001_PCC_1;1444171;10.217.0.246;Operativo;ZTE;PRCC 1400 A;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2024-07-01;9999-01-02;2024-11-27;66832cbc6094d853675768;2024-07-01;2024-04-26;2024-10-30;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
SST;ARSSSST;SAN JUSTO;Sala Objetivo;;Fila de Aire;ARSSSST_SRG0001_VMC_1;1262204;10.217.0.245;Operativo;MITSUBISHI;AE-200A;VRV MODULO CONTROLADOR;REFRIGERACION EXPANSION DIRECTA VRV;CLIMATIZACION;ENTORNO DE RED;0;0;2023-03-01;9999-01-02;2024-11-27;63ffa65d38fc0517097798;2023-03-01;2020-07-01;2024-10-23;;2023-03-01;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
STA;ARAASTA;SALTA;Sala de Energía A;;;ARAASTA_SEA0001_TTA_A1_EXE_1;682356;10.100.188.195;Operativo;Exemys;SSE232;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5fe0b3e3acf9e;2020-12-21;2020-12-21;2022-10-06;;1900-01-02;EDIFICIO HUB;SALTA;2 MEDITERRANEA;83 SALTA JUJUY
STA;ARAASTA;SALTA;Sala de Energía A;;UPS_A_SALTA;ARAASTA_SEA0001_UPS_A1;143434;10.100.188.198;Operativo;Legrand;Archimod HE 120 KVA;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b19b4639bf72;2017-09-26;2017-09-26;2021-06-08;;1900-01-02;EDIFICIO HUB;SALTA;2 MEDITERRANEA;83 SALTA JUJUY
STA;ARAASTA;SALTA;Sala de Energía A;;UPS_B_SALTA;ARAASTA_SEA0001_UPS_B1;143441;10.100.188.199;Operativo;Legrand;Archimod HE 120 KVA;UPS MODULAR CHASIS;UPS;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5b19b4639d35d;2017-09-27;2017-09-27;2021-06-08;;1900-01-02;EDIFICIO HUB;SALTA;2 MEDITERRANEA;83 SALTA JUJUY
STA;ARAASTA;SALTA;Sala de Rack 1;;;ARAASTA_SOB0001_AIX_X1;494791;10.100.188.200;Operativo;Emerson;CR025;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5eb9623eaa8a1;1969-12-31;2020-05-11;2024-02-09;;2022-03-30;EDIFICIO HUB;SALTA;2 MEDITERRANEA;83 SALTA JUJUY
STA;ARAASTA;SALTA;Sala de Rack 1;;;ARAASTA_SOB0001_AIX_X2;494797;10.100.188.201;Operativo;Emerson;CR025;IN ROW DX;REFRIGERACION EXPANSION DIRECTA;CLIMATIZACION;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5eb963e6adda1;1969-12-31;2020-05-11;2024-02-09;;2022-03-30;EDIFICIO HUB;SALTA;2 MEDITERRANEA;83 SALTA JUJUY
STC;ARSSSTC;SANTA CLARA DE LA BUENA VISTA;Sala Unica;;;ARSSSTC_SU_REC_1;400727;10.207.0.194;Operativo;ELTEK;CHASIS SISTEMA RECTIFICADOR 200 A;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5d8b41c1da269;1969-12-31;1969-12-31;2024-11-21;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
STE;ARSSSTE;SASTRE;Sala de Energía Principal;;;ARSSSTE_SEA0001_REC_1;1330991;10.91.230.20;Operativo;EATON;DV2 A20;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2023-09-15;9999-01-02;2024-11-27;6504859a99469830684169;2023-09-15;2012-02-21;2024-10-23;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;33 LITORAL SUR
STI;ARSSSTI;SANTO TOME - SANTA FE;sala de fuerza;;;ARSSSTI_AKCP_SEPR_RRM_39;1428098;10.217.31.194;Operativo;AKCP;SECURITYPROBE 5ES;MODULO DE MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL AMBIENTAL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2024-04-16;9999-01-02;2024-11-27;661eb58872ed5744465165;2024-04-16;2024-04-16;2024-05-31;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
STI;ARSSSTI;SANTO TOME - SANTA FE;sala de fuerza;;RECTIFICADOR ELTEK;ARSSSTI_SEA0001_PCC_A1;1221119;10.217.31.197;Operativo;ELTEK;CHASIS SISTEMA RECTIFICADOR 1400 A CON DISTRIBUCION;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-11-09;9999-01-02;2024-11-27;636b907b2b73b954140344;2022-11-09;2023-11-06;2024-11-22;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;32 LITORAL CENTRO
STO;UYSASTO;STM;Sala de Rack;;;UYSASTO_SOB0001_AKC_AN08_22;1479950;10.217.13.35;Operativo;AKCP;SPX-U-M4A-S-POE;MODULO PRINCIPAL DE MONITOREO;CONTROL;MONITOREO Y CONTROL;ENTORNO DE RED;0;0;2024-10-09;9999-01-02;2024-11-27;6706f35d71982785575769;2024-10-09;2024-10-09;2024-10-09;;1900-01-02;EDIFICIO HUB;SALTO;7 URUGUAY;71 URUGUAY
STP;ARPPSTP;SUBTENIENTE PERIN;PATIO EXTERNO;;;ARPPSTP_PEX0001_GEN_X1;365458;10.217.44.226;Operativo;PALMERO;PC SERIES 30;GRUPO ELECTROGENO CABINADO;GRUPO ELECTROGENO;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5cacdc47c62ec;2014-01-24;2014-01-24;2024-10-23;;1900-01-02;EDIFICIO HUB;FORMOSA;3 LITORAL;31 LITORAL NORTE
STT;ARSSSTS;SANTA TERESA;Contiene TDCA , RECTy TCC..;;;STSEREC40867;399440;10.217.45.66;Operativo;DELTA;SR-400;RECTIFICADOR SWITCHING STANDALONE INDOOR;RECTIFICADOR;ENERGIA;ENTORNO DE RED;0;0;2022-08-25;9999-01-02;2024-11-27;5d8b41757e171;1969-12-31;1969-12-31;2024-10-04;;1900-01-02;EDIFICIO HUB;SANTA FE;3 LITORAL;33 LITORAL SUR
